model,learning rate,r2
DNN-30-8,0.001,0.8790460824966431
DNN-30-8,0.01,0.8426064848899841
DNN-16,0.001,0.812458336353302
DNN-30-16-8,0.01,0.8123619556427002
DNN-30-16-8,0.001,0.8043397665023804
DNN-30-8,0.1,0.8022156953811646
DNN-16,0.01,0.7939363121986389
DNN-30-16-8-4,0.01,0.7892199754714966
Linear Regression,0.0001,0.7750838398933411
Linear Regression,0.001,0.7750838398933411
Linear Regression,0.01,0.7750838398933411
Linear Regression,0.1,0.7750838398933411
DNN-16,0.1,0.7270095348358154
DNN-16,0.0001,0.68216872215271
DNN-30-16-8-4,0.1,0.5911782383918762
DNN-30-16-8,0.0001,0.5660535097122192
DNN-30-8,0.0001,0.5456589460372925
DNN-30-16-8-4,0.0001,0.5226719975471497
DNN-30-16-8-4,0.001,0.513170599937439
DNN-30-16-8,0.1,0.3850288987159729
